"","h2o.coef(glm_model)"
"mso-l:ecm-l_distance",0
"or-r:ecm-l_distance",0
"or-l:ecm-l_distance",0
"mio-r:ecm-l_distance",0
"mio-l:ecm-l_distance",0
"al-r:ecm-l_distance",0
"al-l:ecm-l_distance",0
"pr:ecm-l_distance",0
"ss:ecm-l_distance",0
"ns:ecm-l_distance",0
"mp:ecm-l_distance",0
"ecm-r:ecm-l_distance",0
"g:zy-r_distance",0
"n:zy-r_distance",0
"ale:zy-r_distance",0
"rhi:zy-r_distance",0
"fmo-r:zy-r_distance",0
"fmo-l:zy-r_distance",0
"ec-l:zy-r_distance",0
"ec-r:zy-r_distance",0
"mso-r:zy-r_distance",0
"mso-l:zy-r_distance",0
"or-r:zy-r_distance",0
"or-l:zy-r_distance",0
"mio-r:zy-r_distance",0
"mio-l:zy-r_distance",0
"al-r:zy-r_distance",0
"al-l:zy-r_distance",0
"pr:zy-r_distance",0
"ss:zy-r_distance",0
"ns:zy-r_distance",0
"mp:zy-r_distance",0
"ecm-r:zy-r_distance",0
"ecm-l:zy-r_distance",0
"g:zy-l_distance",0
"n:zy-l_distance",0
"ale:zy-l_distance",0
"rhi:zy-l_distance",0
"fmo-r:zy-l_distance",0
"fmo-l:zy-l_distance",0
"ec-l:zy-l_distance",0
"ec-r:zy-l_distance",0
"mso-r:zy-l_distance",0
"mso-l:zy-l_distance",0
"or-r:zy-l_distance",0
"or-l:zy-l_distance",0
"mio-r:zy-l_distance",0
"mio-l:zy-l_distance",0
"al-r:zy-l_distance",0
"al-l:zy-l_distance",0
"pr:zy-l_distance",0
"ss:zy-l_distance",0
"ns:zy-l_distance",0
"mp:zy-l_distance",0
"ecm-r:zy-l_distance",0
"ecm-l:zy-l_distance",0
"zy-r:zy-l_distance",0
"g:mo-r_distance",0
"n:mo-r_distance",0
"ale:mo-r_distance",0
"rhi:mo-r_distance",0
"fmo-r:mo-r_distance",0
"fmo-l:mo-r_distance",0
"ec-l:mo-r_distance",0
"ec-r:mo-r_distance",0
"mso-r:mo-r_distance",0
"mso-l:mo-r_distance",0
"or-r:mo-r_distance",0
"or-l:mo-r_distance",0
"mio-r:mo-r_distance",0
"mio-l:mo-r_distance",0
"al-r:mo-r_distance",0
"al-l:mo-r_distance",0
"pr:mo-r_distance",0
"ss:mo-r_distance",0
"ns:mo-r_distance",0
"mp:mo-r_distance",0
"ecm-r:mo-r_distance",0
"ecm-l:mo-r_distance",0
"zy-r:mo-r_distance",0
"zy-l:mo-r_distance",0
"g:mo-l_distance",0
"n:mo-l_distance",0
"ale:mo-l_distance",0
"rhi:mo-l_distance",0
"fmo-r:mo-l_distance",0
"fmo-l:mo-l_distance",0
"ec-l:mo-l_distance",0
"ec-r:mo-l_distance",0
"mso-r:mo-l_distance",0
"mso-l:mo-l_distance",0
"or-r:mo-l_distance",0
"or-l:mo-l_distance",0
"mio-r:mo-l_distance",0
"mio-l:mo-l_distance",0
"al-r:mo-l_distance",0
"al-l:mo-l_distance",0
"pr:mo-l_distance",0
"ss:mo-l_distance",0
"ns:mo-l_distance",0
"mp:mo-l_distance",0
"ecm-r:mo-l_distance",0
"ecm-l:mo-l_distance",0
"zy-r:mo-l_distance",0
"zy-l:mo-l_distance",0
"mo-r:mo-l_distance",0
"g:ft-r_distance",0
"n:ft-r_distance",0
"ale:ft-r_distance",0
"rhi:ft-r_distance",0
"fmo-r:ft-r_distance",0
"fmo-l:ft-r_distance",0
"ec-l:ft-r_distance",0
"ec-r:ft-r_distance",0
"mso-r:ft-r_distance",0
"mso-l:ft-r_distance",0
"or-r:ft-r_distance",0
"or-l:ft-r_distance",0
"mio-r:ft-r_distance",0
"mio-l:ft-r_distance",0
"al-r:ft-r_distance",0
"al-l:ft-r_distance",0
"pr:ft-r_distance",0
"ss:ft-r_distance",0
"ns:ft-r_distance",0
"mp:ft-r_distance",0
"ecm-r:ft-r_distance",0
"ecm-l:ft-r_distance",0
"zy-r:ft-r_distance",0
"zy-l:ft-r_distance",0
"mo-r:ft-r_distance",0
"mo-l:ft-r_distance",0
"g:ft-l_distance",0
"n:ft-l_distance",0
"ale:ft-l_distance",0
"rhi:ft-l_distance",0
"fmo-r:ft-l_distance",0
"fmo-l:ft-l_distance",0
"ec-l:ft-l_distance",0
"ec-r:ft-l_distance",0
"mso-r:ft-l_distance",0
"mso-l:ft-l_distance",0
"or-r:ft-l_distance",0
"or-l:ft-l_distance",0
"mio-r:ft-l_distance",0
"mio-l:ft-l_distance",0
"al-r:ft-l_distance",0
"al-l:ft-l_distance",0
"pr:ft-l_distance",0
"ss:ft-l_distance",0
"ns:ft-l_distance",0
"mp:ft-l_distance",0
"ecm-r:ft-l_distance",0
"ecm-l:ft-l_distance",0
"zy-r:ft-l_distance",0
"zy-l:ft-l_distance",0
"mo-r:ft-l_distance",0
"mo-l:ft-l_distance",0
"ft-r:ft-l_distance",0
"g:ms-r_distance",0
"n:ms-r_distance",0
"ale:ms-r_distance",0
"rhi:ms-r_distance",0
"fmo-r:ms-r_distance",0
"fmo-l:ms-r_distance",0
"ec-l:ms-r_distance",0
"ec-r:ms-r_distance",0
"mso-r:ms-r_distance",0
"mso-l:ms-r_distance",0
"or-r:ms-r_distance",0
"or-l:ms-r_distance",0
"mio-r:ms-r_distance",0
"mio-l:ms-r_distance",0
"al-r:ms-r_distance",0
"al-l:ms-r_distance",0
"pr:ms-r_distance",0
"ss:ms-r_distance",0
"ns:ms-r_distance",0
"mp:ms-r_distance",0
"ecm-r:ms-r_distance",0
"ecm-l:ms-r_distance",0
"zy-r:ms-r_distance",0
"zy-l:ms-r_distance",0
"mo-r:ms-r_distance",0
"mo-l:ms-r_distance",0
"ft-r:ms-r_distance",0
"ft-l:ms-r_distance",0
"g:ms-l_distance",0
"n:ms-l_distance",0
"ale:ms-l_distance",0
"rhi:ms-l_distance",0
"fmo-r:ms-l_distance",0
"fmo-l:ms-l_distance",0
"ec-l:ms-l_distance",0
"ec-r:ms-l_distance",0
"mso-r:ms-l_distance",0
"mso-l:ms-l_distance",0
"or-r:ms-l_distance",0
"or-l:ms-l_distance",0
"mio-r:ms-l_distance",0
"mio-l:ms-l_distance",0
"al-r:ms-l_distance",0
"al-l:ms-l_distance",0
"pr:ms-l_distance",0
"ss:ms-l_distance",0
"ns:ms-l_distance",0
"mp:ms-l_distance",0
"ecm-r:ms-l_distance",0
"ecm-l:ms-l_distance",0
"zy-r:ms-l_distance",7.07247704579301
"zy-l:ms-l_distance",0
"mo-r:ms-l_distance",0
"mo-l:ms-l_distance",0
"ft-r:ms-l_distance",0
"ft-l:ms-l_distance",0
"ms-r:ms-l_distance",0
"g:po-r_distance",0
"n:po-r_distance",0
"ale:po-r_distance",0
"rhi:po-r_distance",0
"fmo-r:po-r_distance",0
"fmo-l:po-r_distance",0
"ec-l:po-r_distance",0
"ec-r:po-r_distance",0
"mso-r:po-r_distance",0
"mso-l:po-r_distance",0
"or-r:po-r_distance",0
"or-l:po-r_distance",0
"mio-r:po-r_distance",0
"mio-l:po-r_distance",0
"al-r:po-r_distance",0
"al-l:po-r_distance",0
"pr:po-r_distance",0
"ss:po-r_distance",0
"ns:po-r_distance",0
"mp:po-r_distance",0
"ecm-r:po-r_distance",0
"ecm-l:po-r_distance",0
"zy-r:po-r_distance",0
"zy-l:po-r_distance",0
"mo-r:po-r_distance",0
"mo-l:po-r_distance",0
"ft-r:po-r_distance",0
"ft-l:po-r_distance",0
"ms-r:po-r_distance",0
"ms-l:po-r_distance",0
"g:po-l_distance",0
"n:po-l_distance",0
"ale:po-l_distance",0
"rhi:po-l_distance",0
"fmo-r:po-l_distance",0
"fmo-l:po-l_distance",0
"ec-l:po-l_distance",0
"ec-r:po-l_distance",0
"mso-r:po-l_distance",0
"mso-l:po-l_distance",0
"or-r:po-l_distance",0
"or-l:po-l_distance",0
"mio-r:po-l_distance",0
"mio-l:po-l_distance",0
"al-r:po-l_distance",0
"al-l:po-l_distance",0
"pr:po-l_distance",0
"ss:po-l_distance",0
"ns:po-l_distance",0
"mp:po-l_distance",0
"ecm-r:po-l_distance",0
"ecm-l:po-l_distance",0
"zy-r:po-l_distance",0
"zy-l:po-l_distance",0
"mo-r:po-l_distance",0
"mo-l:po-l_distance",0
"ft-r:po-l_distance",0
"ft-l:po-l_distance",0
"ms-r:po-l_distance",0
"ms-l:po-l_distance",0
"po-r:po-l_distance",0
"g:au-r_distance",0
"n:au-r_distance",0
"ale:au-r_distance",0
"rhi:au-r_distance",0
"fmo-r:au-r_distance",0
"fmo-l:au-r_distance",0
"ec-l:au-r_distance",0
"ec-r:au-r_distance",0
"mso-r:au-r_distance",0
"mso-l:au-r_distance",0
"or-r:au-r_distance",0
"or-l:au-r_distance",0
"mio-r:au-r_distance",0
"mio-l:au-r_distance",0
"al-r:au-r_distance",0
"al-l:au-r_distance",0
"pr:au-r_distance",0
"ss:au-r_distance",0
"ns:au-r_distance",0
"mp:au-r_distance",0
"ecm-r:au-r_distance",0
"ecm-l:au-r_distance",0
"zy-r:au-r_distance",0
"zy-l:au-r_distance",0
"mo-r:au-r_distance",0
"mo-l:au-r_distance",0
"ft-r:au-r_distance",0
"ft-l:au-r_distance",0
"ms-r:au-r_distance",0
"ms-l:au-r_distance",0
"po-r:au-r_distance",0
"po-l:au-r_distance",0
"g:au-l_distance",0
"n:au-l_distance",0
"ale:au-l_distance",0
"rhi:au-l_distance",0
"fmo-r:au-l_distance",0
"fmo-l:au-l_distance",0
"ec-l:au-l_distance",0
"ec-r:au-l_distance",0
"mso-r:au-l_distance",0
"mso-l:au-l_distance",0
"or-r:au-l_distance",0
"or-l:au-l_distance",0
"mio-r:au-l_distance",0
"mio-l:au-l_distance",0
"al-r:au-l_distance",0
"al-l:au-l_distance",0
"pr:au-l_distance",0
"ss:au-l_distance",0
"ns:au-l_distance",0
"mp:au-l_distance",0
"ecm-r:au-l_distance",0
"ecm-l:au-l_distance",0
"zy-r:au-l_distance",0
"zy-l:au-l_distance",0
"mo-r:au-l_distance",0
"mo-l:au-l_distance",0
"ft-r:au-l_distance",0
"ft-l:au-l_distance",0
"ms-r:au-l_distance",0
"ms-l:au-l_distance",0
"po-r:au-l_distance",0
"po-l:au-l_distance",0
"au-r:au-l_distance",0
"g:a_distance",0
"n:a_distance",0
"ale:a_distance",0
"rhi:a_distance",0
"fmo-r:a_distance",0
"fmo-l:a_distance",0
"ec-l:a_distance",0
"ec-r:a_distance",0
"mso-r:a_distance",0
"mso-l:a_distance",0
"or-r:a_distance",0
"or-l:a_distance",0
"mio-r:a_distance",0
"mio-l:a_distance",0
"al-r:a_distance",0
"al-l:a_distance",0
"pr:a_distance",0
"ss:a_distance",0
"ns:a_distance",0
"mp:a_distance",0
"ecm-r:a_distance",0
"ecm-l:a_distance",0
"zy-r:a_distance",0
"zy-l:a_distance",0
"mo-r:a_distance",0
"mo-l:a_distance",0
"ft-r:a_distance",0
"ft-l:a_distance",0
"ms-r:a_distance",0
"ms-l:a_distance",0
"po-r:a_distance",0
"po-l:a_distance",0
"au-r:a_distance",0
"au-l:a_distance",0
"g:zm-r_distance",0
"n:zm-r_distance",0
"ale:zm-r_distance",0
"rhi:zm-r_distance",0
"fmo-r:zm-r_distance",0
"fmo-l:zm-r_distance",0
"ec-l:zm-r_distance",0
"ec-r:zm-r_distance",0
"mso-r:zm-r_distance",0
"mso-l:zm-r_distance",0
"or-r:zm-r_distance",0
"or-l:zm-r_distance",0
"mio-r:zm-r_distance",0
"mio-l:zm-r_distance",0
"al-r:zm-r_distance",0
"al-l:zm-r_distance",0
"pr:zm-r_distance",0
"ss:zm-r_distance",0
"ns:zm-r_distance",0
"mp:zm-r_distance",0
